solution,k2_cluster,k2_label,n,eu27_count,institutional_capacity_mean_z,aipi_mean_z,access_assets_mean_z,reg_ethics_mean_z,policy_visibility_mean_z,q1_broad_diffusion_mean_pct,h2_broad_diffusion_mean_pct,q1_change_from_h2_mean_pct_points,claude_visible_platform_use_log_mean,broad_claude_visible_divergence_mean_z,q1_conversion_gap_mean_pct,bti_capacity_mean_z,k3_cluster,k3_label
k2,1.0,High-capacity profile,58,22,0.8716646212673966,0.9795844338525888,0.8299386023084513,0.9413395087929303,0.9319594699326121,29.517241379310345,27.03965517241379,2.477586206896552,0.9241395364651585,0.04251382677676604,1.5692642135521648,0.6693926009037657,,
k2,2.0,Lower-capacity profile,80,0,-0.6319568504188625,-0.710198714543127,-0.6017054866736271,-0.6824711438748745,-0.675670615701144,12.50375,11.34,1.1637499999999998,0.2557579561877018,0.12189926427911454,-1.137716554825319,-0.28339063271067877,,
k3,,,28,15,1.5433739101893413,1.528572343857098,1.0511900826397416,1.4891301211515633,1.3592183946666323,37.753571428571426,34.846428571428575,2.9071428571428575,1.2116327305901444,0.03018091375748106,6.334090810915613,1.6697741658420397,1.0,High-capacity integrated profile
k3,,,56,7,0.08504543193848783,0.1840025774006897,0.40550734632532176,0.17261593587725627,0.07339874926260948,19.176785714285717,17.357142857142858,1.8196428571428573,0.5380752857542614,0.03845583319260505,-3.127027618899556,0.3331585422236167,2.0,Intermediate readiness-access profile
k3,,,54,0,-0.8884632161825347,-0.9834105548599515,-0.9655876612616809,-0.9511506629883355,-0.7808971298031824,10.764814814814814,9.774074074074074,0.9907407407407406,0.15580577817006255,0.18108603548979418,-0.04149992680114755,-0.5065214373637654,3.0,Capacity-constrained low-observability profile
