variable,institutional_capacity_z,imf_aipi_index_2023_z,access_assets_z,reg_ethics_z,policy_intensity_z
institutional_capacity_z,1.0,0.9304490551405298,0.7400265001639299,0.9558643461262221,0.6945888404893892
imf_aipi_index_2023_z,0.9304490551405298,1.0,0.8391293556078124,0.9578098714370425,0.7847116005835889
access_assets_z,0.7400265001639299,0.8391293556078124,1.0,0.7368919972561873,0.6071407642114587
reg_ethics_z,0.9558643461262221,0.9578098714370425,0.7368919972561873,1.0,0.7637782993518
policy_intensity_z,0.6945888404893892,0.7847116005835889,0.6071407642114587,0.7637782993518,1.0
