baseline,predictors,n,access_baseline_r2,k2_eta2_on_residual,k2_anova_p,k3_eta2_on_residual,k3_anova_p,pc1_overall_capacity_coef,pc1_overall_capacity_p,pc2_access_capacity_imbalance_coef,pc2_access_capacity_imbalance_p
basic_access,log_gdp_per_capita_ppp_z; wdi_individuals_using_internet_pct_latest_z; log_population_z,138,0.5946025629620667,0.029777232329183327,0.04298038192332419,0.201960545261651,2.4358162157739644e-07,1.3600736686610342,0.11888425581811984,-3.0490714594618784,2.416833882530875e-07
minimal_economic_scale,log_gdp_per_capita_ppp_z; log_population_z,138,0.5849263754870806,0.03250157377875523,0.034350020992422944,0.24335469705061594,6.687025500978056e-09,1.2557355324524142,0.14852090206520874,-3.5650947254998546,2.2076125886118873e-10
education_rd_access,log_gdp_per_capita_ppp_z; wdi_individuals_using_internet_pct_latest_z; log_population_z; wdi_tertiary_enrollment_gross_pct_latest_z; wdi_rd_expenditure_pct_gdp_latest_z,121,0.6566220360866382,0.009024306328860515,0.2999879534939434,0.07852830857193766,0.008024867474446053,1.021639603407465,0.2800005435506483,-2.1567242803410114,0.0003092419833257782
aipi_human_innovation_access,log_gdp_per_capita_ppp_z; wdi_individuals_using_internet_pct_latest_z; log_population_z; human_capital_z; innovation_integration_z,138,0.678211911308861,0.003683088853059391,0.4795072351158127,0.08173040739216916,0.003165838312726705,0.22533628744080045,0.8014594244014893,-1.0323813606700316,0.09026442530350173
readiness_enriched_access,log_gdp_per_capita_ppp_z; wdi_individuals_using_internet_pct_latest_z; log_population_z; human_capital_z; innovation_integration_z; digital_infra_z,138,0.6791791062059198,0.002544032390346686,0.5568668139265008,0.08176957295471345,0.00315673685605911,0.2198349923785436,0.8068511120665884,-0.9525166599207482,0.11713634515612646
