variant,outcome,excluded_iso3,n_excluded,term,coef,se_hc3,p_hc3,n,r2
exclude_USA_CHN_ARE_SGP,broad_pct,USA; CHN; ARE; SGP,4,institutional_capacity_z,5.502502686649556,1.8406290018284661,0.0027946312956127124,134,0.7480269551292791
exclude_USA_CHN_ARE_SGP,broad_pct,USA; CHN; ARE; SGP,4,imf_aipi_index_2023_z,0.9984736982510437,2.1218113260134857,0.6379434784479463,134,0.7480269551292791
exclude_USA_CHN_ARE_SGP,broad_pct,USA; CHN; ARE; SGP,4,access_assets_z,2.558717204749454,0.9516803695113536,0.007174570994898552,134,0.7480269551292791
exclude_USA_CHN_ARE_SGP,broad_pct,USA; CHN; ARE; SGP,4,policy_intensity_z,1.4552780937776153,0.8518932447790001,0.08758311570087036,134,0.7480269551292791
exclude_USA_CHN_ARE_SGP,broad_pct,USA; CHN; ARE; SGP,4,log_population_z,-0.44488255770312585,0.5910633791374724,0.45164124116398663,134,0.7480269551292791
exclude_USA_CHN_ARE_SGP,broad_logit,USA; CHN; ARE; SGP,4,institutional_capacity_z,0.3412282882447825,0.11543509831939086,0.0031163837978798025,134,0.7576504992537979
exclude_USA_CHN_ARE_SGP,broad_logit,USA; CHN; ARE; SGP,4,imf_aipi_index_2023_z,0.020965486208415277,0.13275421782938995,0.8745142577187719,134,0.7576504992537979
exclude_USA_CHN_ARE_SGP,broad_logit,USA; CHN; ARE; SGP,4,access_assets_z,0.2446984564412281,0.05768595344721054,2.2162841861815518e-05,134,0.7576504992537979
exclude_USA_CHN_ARE_SGP,broad_logit,USA; CHN; ARE; SGP,4,policy_intensity_z,0.07332395614074033,0.0527965675411421,0.16489309628418403,134,0.7576504992537979
exclude_USA_CHN_ARE_SGP,broad_logit,USA; CHN; ARE; SGP,4,log_population_z,-0.018064169245181744,0.03919450699344845,0.6448809513233481,134,0.7576504992537979
exclude_USA_CHN_ARE_SGP,conversion_gap_pc,USA; CHN; ARE; SGP,4,capacity_bundle_pc1_z,0.6988198749190714,0.7686584957060328,0.36327507017261873,134,0.24905073450699788
exclude_USA_CHN_ARE_SGP,conversion_gap_pc,USA; CHN; ARE; SGP,4,capacity_bundle_pc2_z,-3.0741838019685406,0.5630374344558645,4.7613739429687504e-08,134,0.24905073450699788
exclude_USA_CHN_ARE_SGP,conversion_gap_pc,USA; CHN; ARE; SGP,4,policy_intensity_z,0.6946259775589279,0.8758736859918396,0.42773914661036494,134,0.24905073450699788
exclude_cooks_d_gt_4_over_n,broad_pct,ARE; SGP; FRA; QAT; LBN; JPN; GUY; RUS; RWA,9,institutional_capacity_z,5.800524215300003,1.4716044636679546,8.09288544877427e-05,129,0.794114044229566
