k,resamples,mean_ari,median_ari,sd_ari,p10_ari,p90_ari
2,80,0.9553883002230871,0.963628458853106,0.035111453240607576,0.8929118465325502,1.0
3,80,0.9681552989618052,0.9747209535522943,0.02842947185487694,0.9148170397337853,1.0
4,80,0.9234525432940212,0.9718811883289176,0.10012479502980765,0.7802012851241423,1.0
