feature_set,k,n,n_features,silhouette,calinski_harabasz,davies_bouldin,ward_vs_kmeans_ari,kmeans_inertia,cluster_counts_raw
main_all_inputs,2,138,5,0.49351339956572055,215.42679157770849,0.7347964470145067,0.3101050664537887,267.0257426268249,"{""0"": 58, ""1"": 80}"
main_all_inputs,3,138,5,0.43830847341567847,216.73110299203242,0.8044029196754061,0.7706428251019674,163.86313640455313,"{""0"": 56, ""1"": 28, ""2"": 54}"
main_all_inputs,4,138,5,0.41459787355936123,205.12853312144617,0.8794439310487563,0.7336530399845484,123.38107388029427,"{""0"": 50, ""1"": 26, ""2"": 31, ""3"": 31}"
main_all_inputs,5,138,5,0.36697077254996646,189.71447036272335,0.9535966530044735,0.6383871344928671,102.89756014793144,"{""0"": 35, ""1"": 25, ""2"": 31, ""3"": 26, ""4"": 21}"
main_all_inputs,6,138,5,0.3462160572365046,178.91192921974132,0.9704462778461286,0.5827497292885926,88.72353432763167,"{""0"": 35, ""1"": 16, ""2"": 21, ""3"": 24, ""4"": 19, ""5"": 23}"
no_regulatory_ethics,2,138,4,0.5004068636439346,213.36826623893197,0.7312704197483713,0.832298347008509,214.87927569431417,"{""0"": 82, ""1"": 56}"
no_regulatory_ethics,3,138,4,0.4246510958672583,201.58605529561066,0.8375207711077923,0.3867241786000128,138.46871388064753,"{""0"": 54, ""1"": 55, ""2"": 29}"
no_regulatory_ethics,4,138,4,0.42530668469418015,207.94575092008154,0.8571191135725915,0.788968073114399,97.60406964765707,"{""0"": 30, ""1"": 44, ""2"": 27, ""3"": 37}"
no_regulatory_ethics,5,138,4,0.37765800911183106,194.61583875567828,0.8876660276547282,0.6689463404044753,80.547396223264,"{""0"": 28, ""1"": 34, ""2"": 27, ""3"": 27, ""4"": 22}"
no_regulatory_ethics,6,138,4,0.3472505007989867,182.35224370345506,0.972217899816684,0.5841234350636673,69.80907003184849,"{""0"": 27, ""1"": 23, ""2"": 20, ""3"": 24, ""4"": 27, ""5"": 17}"
no_policy_visibility,2,138,4,0.4914254148726851,224.42633506491217,0.7108407177661057,0.4214952105399436,208.2866669176093,"{""0"": 65, ""1"": 73}"
no_policy_visibility,3,138,4,0.4880876964106459,276.5236830776183,0.6689632672116274,0.6408679187319177,108.30649700239806,"{""0"": 58, ""1"": 51, ""2"": 29}"
no_policy_visibility,4,138,4,0.3916133755079371,247.96151637577015,0.8869034055290538,0.4543810982457943,84.25709288713453,"{""0"": 33, ""1"": 27, ""2"": 35, ""3"": 43}"
no_policy_visibility,5,138,4,0.39016153814854765,242.68276411214475,0.8444644500835826,0.7655340209758038,66.51620389864452,"{""0"": 35, ""1"": 39, ""2"": 19, ""3"": 24, ""4"": 21}"
no_policy_visibility,6,138,4,0.382005614275251,240.3822977847977,0.8348776985430194,0.6737716159891681,54.62431398561263,"{""0"": 37, ""1"": 24, ""2"": 20, ""3"": 19, ""4"": 20, ""5"": 18}"
core_capacity_access_only,2,138,3,0.491512684802041,222.60144857009828,0.708538209268747,0.3665949323151684,157.0099625210908,"{""0"": 69, ""1"": 69}"
core_capacity_access_only,3,138,3,0.4889889333900806,284.79792532738975,0.6598997659072212,0.7199645516486495,79.3220680310018,"{""0"": 54, ""1"": 34, ""2"": 50}"
core_capacity_access_only,4,138,3,0.4075640472041376,261.382450314035,0.806316934420136,0.571085998018924,60.42167408431387,"{""0"": 26, ""1"": 38, ""2"": 28, ""3"": 46}"
core_capacity_access_only,5,138,3,0.3944158812364613,260.419124584895,0.8479334985488016,0.7788849919851665,46.87418202188505,"{""0"": 39, ""1"": 22, ""2"": 23, ""3"": 31, ""4"": 23}"
core_capacity_access_only,6,138,3,0.38511308387795706,253.7625914141907,0.8968924683192796,0.7450922322384532,39.01163229833831,"{""0"": 22, ""1"": 23, ""2"": 23, ""3"": 38, ""4"": 19, ""5"": 13}"
