variable,PC1,PC2,PC3,PC4
institutional_capacity_z,0.5072053799681817,-0.3598394821855635,0.7543024467976824,-0.21044255355509153
imf_aipi_index_2023_z,0.5204268097637536,-0.037514048080911265,-0.5498152402868778,-0.6522666888811568
access_assets_z,0.45930815649744067,0.8544761753666585,0.15164866402969557,0.1894971393021501
reg_ethics_z,0.5108176343719715,-0.37279848308137753,-0.325167192381582,0.7031023626937447
